City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,lebu,-37.6167,-73.65,15.7,76,0,6.02,CL,1706660374
84,istgah-e rah ahan-e garmsar,35.2346,52.3094,5.73,58,97,2.24,IR,1706660374
85,fort bragg,35.139,-79.006,9.16,69,100,0.0,US,1706660374
86,kavaratti,10.5669,72.642,27.33,68,56,3.18,IN,1706660374
87,nakonde,-9.3421,32.745,14.78,98,100,1.15,ZM,1706660375
88,port elizabeth,-33.918,25.5701,21.84,88,0,1.03,ZA,1706660375
89,narrabri,-30.3167,149.7833,30.85,68,4,0.89,AU,1706660375
90,xylofagou,34.9772,33.8492,9.71,82,84,12.32,CY,1706660376
91,ilulissat,69.2167,-51.1,-23.99,49,60,3.09,GL,1706660376
92,la'ie,21.6477,-157.9253,27.25,78,88,1.79,US,1706660376
93,gaspe,48.8334,-64.4819,-9.05,84,0,1.54,CA,1706660376
94,prado,-17.3411,-39.2208,25.78,86,30,5.51,BR,1706660376
95,holmsund,63.706,20.3641,-1.03,92,100,4.12,SE,1706660377
96,kukuna,9.4,-12.6667,22.91,80,23,1.85,SL,1706660377
97,villazon,-22.0866,-65.5942,12.93,63,48,1.93,BO,1706660377
98,kodiak,57.79,-152.4072,-10.27,41,0,4.12,US,1706660377
99,erseke,40.3378,20.6789,-2.86,68,1,2.24,AL,1706660377
100,dunedin,-45.8742,170.5036,25.04,91,40,3.58,NZ,1706660256
101,kristiansund,63.1115,7.732,6.36,39,79,7.72,NO,1706660378
102,gamba,-2.65,10.0,26.33,89,100,1.27,GA,1706660378
103,smiths falls,44.9001,-76.0161,-2.31,97,100,2.09,CA,1706660379
104,saldanha,-33.0117,17.9442,17.03,91,73,2.91,ZA,1706660379
105,sibundoy,1.2048,-76.9237,15.52,97,96,0.7,CO,1706660379
106,esmeraldas,-19.7625,-44.3139,27.17,66,62,1.06,BR,1706660379
107,puerto ayora,-0.7393,-90.3518,26.02,82,85,3.92,EC,1706660379
108,dudinka,69.4058,86.1778,-16.88,84,94,9.39,RU,1706660379
109,talnakh,69.4865,88.3972,-17.11,81,100,4.69,RU,1706660380
110,petropavlovsk-kamchatsky,53.0452,158.6483,-15.3,94,40,4.0,RU,1706660380
111,berbera,10.4396,45.0143,24.75,84,76,2.42,SO,1706660380
112,ito,34.9667,139.0833,10.41,72,4,1.78,JP,1706660380
113,yarmouth,41.7057,-70.2286,-1.92,76,100,4.92,US,1706660380
114,san matias,-16.3667,-58.4,23.82,91,67,3.81,BO,1706660381
115,fortaleza,-3.7227,-38.5247,30.04,87,20,2.06,BR,1706660209
116,shyryayeve,47.3805,30.1964,0.23,70,11,1.06,UA,1706660381
117,ola,59.5833,151.2833,-27.7,77,11,2.76,RU,1706660381
118,mount gambier,-37.8333,140.7667,20.74,48,15,2.98,AU,1706660381
119,tarnogskiy gorodok,60.4997,43.5761,-3.82,89,10,3.77,RU,1706660382
120,devils lake,48.1128,-98.8651,5.99,81,0,5.66,US,1706660382
121,longyearbyen,78.2186,15.6401,-5.09,63,75,5.14,SJ,1706660382
122,antofagasta,-23.65,-70.4,20.6,84,65,4.51,CL,1706660382
123,yaren,-0.5472,166.916,28.77,74,97,5.54,NR,1706660382
124,haiku-pauwela,20.9219,-156.3051,23.43,95,100,3.09,US,1706660383
125,stanley,54.868,-1.6985,4.6,85,0,2.06,GB,1706660383
126,constantia,44.1833,28.65,-3.62,79,46,3.9,RO,1706660180
127,itaituba,-4.2761,-55.9836,24.91,99,100,0.67,BR,1706660356
128,bredasdorp,-34.5322,20.0403,18.71,93,75,1.87,ZA,1706660384
129,laojunmiao,39.8333,97.7333,-9.25,43,100,4.48,CN,1706660384
130,awjilah,29.1081,21.2869,9.66,75,5,4.54,LY,1706660384
131,ahfir,34.9537,-2.1003,9.34,95,24,0.5,MA,1706660384
132,bukama,-9.2,25.85,20.26,99,85,0.46,CD,1706660384
133,thinadhoo,0.5333,72.9333,27.31,77,29,2.02,MV,1706660385
134,san antonio de pale,-1.4014,5.6325,28.09,78,96,2.48,GQ,1706660385
135,lefkada,38.8275,20.7019,5.95,52,0,0.51,GR,1706660385
136,wenling,28.3669,121.36,12.91,93,98,0.52,CN,1706660385
137,luena,-11.7833,19.9167,17.69,96,97,1.14,AO,1706660385
138,iskateley,67.6803,53.1512,-6.1,92,59,4.92,RU,1706660386
139,kavieng,-2.5744,150.7967,28.53,76,100,4.39,PG,1706660386
140,alacranes,22.7675,-81.5675,17.27,67,9,4.05,CU,1706660386
141,coquimbo,-29.9533,-71.3436,17.85,88,40,3.6,CL,1706660386
142,deniliquin,-35.5333,144.9667,24.04,31,0,5.49,AU,1706660386
143,castillos,-34.1667,-53.8333,18.75,82,0,2.65,UY,1706660387
144,tofol,5.3248,163.0078,28.88,79,100,7.72,FM,1706660387
145,auki,-8.7676,160.7034,26.45,87,100,3.89,SB,1706660387
146,harstad,68.799,16.5293,2.66,97,100,12.52,NO,1706660387
147,uliastay,47.7417,96.8444,-23.03,77,24,2.61,MN,1706660387
148,hadibu,12.65,54.0333,23.94,77,75,2.69,YE,1706660387
149,lubuklinggau,-3.3,102.8667,23.74,97,99,0.32,ID,1706660388
150,bilibino,68.0546,166.4372,-33.52,99,100,0.37,RU,1706660388
151,ebon,4.582,168.6964,27.29,79,100,8.33,MH,1706660388
152,santa isabel,-23.3156,-46.2214,25.42,75,74,0.68,BR,1706660388
153,kanke,23.4333,85.3167,12.01,76,40,0.0,IN,1706660388
154,lompoc,34.6391,-120.4579,22.08,71,75,5.14,US,1706660389
155,touros,-5.1989,-35.4608,27.37,76,19,6.34,BR,1706660389
156,moree,-29.4667,149.85,28.22,59,4,0.2,AU,1706660389
157,al ghayzah,16.2079,52.176,24.52,72,82,2.08,YE,1706660389
158,margaret river,-33.95,115.0667,22.03,54,0,3.21,AU,1706660389
159,carnarvon,-24.8667,113.6333,29.31,53,14,5.94,AU,1706660390
